1 	2 	9.66 	0.36
1 	3 	6.44 	0.64
2 	1 	9.66 	0.43
2 	6 	8.05 	0.57
3 	1 	6.44 	0.25
3 	4 	6.44 	0.44
3 	12 	6.44 	0.31
4 	3 	6.44 	0.38
4 	5 	3.22 	0.48
4 	11 	9.66 	0.14
5 	4 	3.22 	0.42
5 	6 	6.44 	0.21
5 	9 	8.05 	0.37
6 	2 	8.05 	0.22
6 	5 	6.44 	0.32
6 	8 	3.22 	0.46
7 	8 	4.83 	0.43
7 	18 	3.22 	0.57
8 	6 	3.22 	0.32
8 	7 	4.83 	0.30
8 	9 	16.09 	0.17
8 	16 	8.05 	0.21
9 	5 	8.05 	0.36
9 	8 	16.09 	0.15
9 	10 	4.83 	0.49
10 	9 	4.83 	0.27
10 	11 	8.05 	0.22
10 	15 	9.66 	0.28
10 	16 	6.44 	0.13
10 	17 	12.87 	0.10
11 	4 	9.66 	0.13
11 	10 	8.05 	0.43
11 	12 	9.66 	0.20
11 	14 	6.44 	0.24
12 	3 	6.44 	0.33
12 	11 	9.66 	0.27
12 	13 	4.83 	0.40
13 	12 	4.83 	0.53
13 	24 	6.44 	0.47
14 	11 	6.44 	0.36
14 	15 	8.05 	0.33
14 	23 	6.44 	0.31
15 	10 	9.66 	0.33
15 	14 	8.05 	0.13
15 	19 	4.83 	0.27
15 	22 	4.83 	0.27
16 	8 	8.05 	0.18
16 	10 	6.44 	0.24
16 	17 	3.22 	0.25
16 	18 	4.83 	0.33
17 	10 	12.87 	0.27
17 	16 	3.22 	0.39
17 	19 	3.22 	0.34
18 	7 	3.22 	0.32
18 	16 	4.83 	0.30
18 	20 	6.44 	0.38
19 	15 	4.83 	0.51
19 	17 	3.22 	0.26
19 	20 	6.44 	0.23
20 	18 	6.44 	0.46
20 	19 	6.44 	0.21
20 	21 	9.66 	0.16
20 	22 	8.05 	0.17
21 	20 	9.66 	0.35
21 	22 	3.22 	0.24
21 	24 	4.83 	0.41
22 	15 	4.83 	0.32
22 	20 	8.05 	0.37
22 	21 	3.22 	0.10
22 	23 	6.44 	0.31
23 	14 	6.44 	0.32
23 	22 	6.44 	0.37
23 	24 	3.22 	0.31
24 	13 	6.44 	0.38
24 	21 	4.83 	0.35
24 	23 	3.22 	0.27
